Trip_ID,medallion, hack_license, vendor_id, rate_code, passenger_count, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude,pickup_time,pickup_date,dropoff_time,dropoff_date,trip_time
8394,AE9434F96D2A33A01A340D97176DD7BF,97F7B431B057B98EAED0F323C4347B62,VTS,1,3,2.7,-73.984444,40.7603,-73.999069,40.728092,18,21-05-2013,18,21-05-2013,24
8395,08E9F5633328D780CDFA627D8748182A,A30AFD4EE6203500CE842F63D6767A85,VTS,1,6,2.08,-73.979927,40.773041,-73.994972,40.749973,7,23-05-2013,8,23-05-2013,12
8396,10E64F0233BDE623296540BF03E6E144,5A0DBEC9A16DB78134EB222061E69D9A,VTS,1,2,2.95,-73.973129,40.795586,-73.978683,40.762253,13,26-05-2013,14,26-05-2013,12
8397,D4D7F42F03937C65BF328B064868CCA8,0E971280571F061EDFA53CAC50669858,VTS,1,1,1.24,-73.988716,40.747532,-73.986343,40.76115,11,21-05-2013,11,21-05-2013,15
8398,F904D84CF7E2180E2CCD0DD007C3256C,44BCD85384B0E8E7A0E6BD59EA1AF29C,VTS,1,3,0.38,-73.95208,40.786316,-73.951591,40.782677,20,22-05-2013,21,22-05-2013,2
8399,FCA03DFDEACC34617F65E2B0D30A1ADB,BAEC454646DD96862C1B080EA8127955,VTS,1,1,1.57,40.760433,-73.973671,40.743504,-73.987648,22,21-05-2013,23,21-05-2013,7
8400,8CB7608982B6DA3FCFE48CF8E35CAA08,B244AA758DD8D29269F83900272C568B,VTS,1,2,0.25,-73.902313,40.741428,0,0,16,26-05-2013,16,26-05-2013,1
8401,4DDBCA83218B5AECF5AFAA0D59E8E094,98ACBC8504E6285FFB35C533C7A6F2AE,VTS,1,1,1.65,40.733471,-73.999336,40.720943,-73.974823,9,23-05-2013,9,23-05-2013,12
8402,0CA06825E31D118DED987821A7EDA3FE,AFACF8312244283B1FC901B06D7979A0,VTS,1,1,1.08,40.745205,-73.988487,40.731194,-73.991028,13,22-05-2013,13,22-05-2013,7
8403,BB3B2E013357CC86B8CC73DA5CDB98CA,7C5FEBD026ADAD17A4CA52D3D5F45FED,VTS,1,6,1.39,-73.988869,40.729103,-74.007271,40.727535,13,26-05-2013,13,26-05-2013,6
8404,B91CBA168CDFF29638EF93E7F4D50E55,607CAA69BF57B4F0BF942C1DED83418B,VTS,1,5,0.76,-74.004044,40.747818,-73.994598,40.750713,15,21-05-2013,15,21-05-2013,8
8405,18C4DF96F5A69E35952134948DB94424,AC2FF2AADFD3803E304CE1C2E2C21D62,VTS,1,2,2.09,-73.965157,40.755253,-73.984543,40.732952,12,22-05-2013,12,22-05-2013,9
8406,695017004EC78E71502150395797EA7A,6A069B92703960B8C632A50BC325324B,VTS,1,1,7.84,-73.874557,40.774101,-73.947205,40.775986,21,20-05-2013,21,20-05-2013,18
8407,32E933746F72A435ED05515C53A9782A,C5F6971B243D6574DDFEA424E58B16FF,VTS,1,6,0.31,-73.965462,40.76292,-73.962692,40.766922,9,22-05-2013,9,22-05-2013,1
8408,51888321D214151B956229F976FAC9D8,F181C52845B5AA6A2DDDAC0258991E05,VTS,1,1,1.61,-73.9888,40.748363,-73.98275,40.766792,21,23-05-2013,21,23-05-2013,9
8409,983DD2390BC2930B1FE540C3D752E6D5,1D6C75D6988C9DDA445EE62E08FF2D8F,VTS,1,2,1.48,-73.963264,40.77459,-73.943619,40.776623,19,21-05-2013,19,21-05-2013,8
8410,7706E6BE86C5E82CD8001EFFCEDB1C7C,F910FAB0B16E7FB05E89258EE8EEEFE3,VTS,1,1,2.13,-73.991234,40.732632,-74.011101,40.716251,17,21-05-2013,17,21-05-2013,17
8411,238EFAFA411F3121D1AE05CE8C2F28CF,1B3EC7E48C5670B9A39831FE600BB39A,VTS,1,1,0.91,-73.980095,40.748531,-73.97364,40.757816,8,23-05-2013,8,23-05-2013,5
